image_path,labels
C:/Users/home/Desktop/Sheet\images\hard_hat_workers0.png,"['helmet', 'helmet', 'helmet', 'helmet', 'helmet', 'helmet', 'head', 'head', 'head', 'head', 'head', 'helmet', 'head']"
C:/Users/home/Desktop/Sheet\images\hard_hat_workers1.png,"['helmet', 'helmet', 'helmet', 'helmet', 'helmet', 'helmet', 'helmet', 'helmet', 'helmet']"
C:/Users/home/Desktop/Sheet\images\hard_hat_workers10.png,"['helmet', 'helmet', 'helmet']"
C:/Users/home/Desktop/Sheet\images\hard_hat_workers100.png,"['helmet', 'helmet', 'helmet', 'helmet', 'helmet']"
C:/Users/home/Desktop/Sheet\images\hard_hat_workers1000.png,"['helmet', 'helmet']"
C:/Users/home/Desktop/Sheet\images\hard_hat_workers1001.png,"['helmet', 'helmet', 'helmet', 'helmet']"
C:/Users/home/Desktop/Sheet\images\hard_hat_workers1002.png,"['helmet', 'helmet', 'helmet', 'helmet']"
C:/Users/home/Desktop/Sheet\images\hard_hat_workers1003.png,"['helmet', 'helmet', 'helmet', 'helmet', 'helmet', 'helmet']"
C:/Users/home/Desktop/Sheet\images\hard_hat_workers1004.png,"['helmet', 'helmet', 'helmet', 'helmet', 'helmet']"
C:/Users/home/Desktop/Sheet\images\hard_hat_workers1005.png,"['helmet', 'helmet', 'helmet', 'head', 'helmet', 'helmet', 'head']"
C:/Users/home/Desktop/Sheet\images\hard_hat_workers1006.png,"['helmet', 'head', 'head', 'head', 'head', 'head', 'head', 'head', 'head', 'helmet', 'head', 'head', 'head', 'head', 'head', 'head', 'head', 'head']"
C:/Users/home/Desktop/Sheet\images\hard_hat_workers1007.png,"['helmet', 'helmet', 'person', 'person', 'head', 'person', 'helmet', 'person', 'person']"
C:/Users/home/Desktop/Sheet\images\hard_hat_workers1008.png,"['helmet', 'helmet', 'helmet']"
C:/Users/home/Desktop/Sheet\images\hard_hat_workers1009.png,"['helmet', 'helmet', 'helmet', 'helmet']"
